LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,33.23423,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,50.64377,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,75.90009,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,59.14192,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,130.5916,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,101.8692,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,85.34661,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,98.67602,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,188.9637,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,31.04602,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,51.68024,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,79.92147,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,53.42833,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,126.2287,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,101.2852,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,53.41456,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,88.30473,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,87.50822,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,50.37017,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,37.46692,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,68.21845,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,15.19953,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,98.98184,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,74.64407,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,36.99472,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,50.20718,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,22.0821,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,16.65339,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,57.54879,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,69.71158,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,79.12815,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,11.15609,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,31.72924,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,77.6053,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,21.09479,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,50.26174,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,59.07416,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,124.5234,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,61.19794,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1998,,102.1273,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,10.75109,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,49.14316,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,54.4607,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,68.59765,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,122.4308,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,102.9808,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,32.50804,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,76.15707,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,29.34961,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,69.68423,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,130.901,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1999,,73.95229,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,29.14343,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,86.10175,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,82.5785,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,74.14362,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,29.77167,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,108.4692,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,75.00217,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,21.19203,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,58.87362,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,17.02323,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,65.372,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,49.66037,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,102.2571,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,117.3211,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,29.41731,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,57.54786,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,70.76098,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,48.11926,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,113.3058,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,37.88417,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,41.31557,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,46.29985,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,193.0461,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2022,,77.26779,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,34.31262,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,61.55579,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,34.47864,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,72.13879,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,64.17264,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,67.71098,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,140.8035,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,32.77646,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,14.45733,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,105.7932,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,72.42918,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,17.83966,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,24.3157,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,38.87846,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2000,,53.60959,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,115.3293,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,20.82745,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,94.77152,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,53.06485,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,46.75459,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,53.77193,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,35.33258,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,111.3621,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,71.7653,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,51.60118,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2004,,52.3359,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,64.82926,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,74.02462,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,50.62228,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,58.14748,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,119.5324,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,51.05557,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,58.02681,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,7.538434,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,116.2924,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,58.91822,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,36.15499,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,60.63492,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2002,,32.02078,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,32.78759,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,34.92329,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,61.3885,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,23.95587,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,96.6567,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,56.20479,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,49.37656,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,54.94661,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2003,,16.99786,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,88.5332,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,60.91516,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,58.50409,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,44.5729,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,15.84802,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,28.27791,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,18.0554,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,71.47308,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,50.85668,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,38.41173,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,105.4448,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,47.95351,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,52.01754,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,6.65372,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,117.3584,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2001,,58.46485,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,24.92345,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,88.5538,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,65.53519,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,83.86554,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,47.213,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,172.3258,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,37.00558,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,48.65593,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,45.11943,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,76.25182,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,108.9884,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2005,,31.31408,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,15.08723,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,98.23828,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,77.26933,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,17.58897,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,28.368,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,31.97211,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,89.5168,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,27.63792,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,115.5393,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2006,,70.87225,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,7.194537,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,54.72943,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,45.93937,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,50.46934,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,110.2992,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,71.86286,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,113.001,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,19.40425,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,86.24363,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,55.84643,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,80.51186,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,174.2457,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2007,,53.7233,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,30.42528,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,71.41953,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,17.13637,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,101.9997,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,52.64047,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,84.4994,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,178.1565,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,54.46199,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,23.80146,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,140.8007,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,37.69713,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,90.07707,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,82.50349,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,24.49142,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,29.81709,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2008,,32.96545,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,148.0516,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,78.18831,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,142.8087,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,48.8768,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,255.9666,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,43.58462,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,52.79595,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,82.32255,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,48.87109,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,101.5864,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,128.414,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,50.38103,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,42.09178,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,64.30972,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2021,,89.2,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,48.90123,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,39.21305,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,90.54397,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,58.01704,,A,,,,,,,
