Name,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,"Phone (store, cell)",Name of who you talked to,Their position...17,Their email,Decision Maker Name,Their position...20,Decision Maker Email,Notes,...23,...24,...25,...26,lon,lat,address,status_Color
Crema,L1,17-Oct,Cafe,1,NA,"2862 Larimer St Denver, CO 80205",Jack,Y,Email,2,NA,A,2,NA,Jack,Employee,NA,Wyett,Manager,cremawholesale@gmail.com,Talked to Jack - sent manager (wyett) email,NA,NA,NA,NA,-104.9817151,39.7611263,"2862 larimer st, denver, co 80205, usa",orange
Yours truly cupcake,L2,23-Oct,Bakery,1,NA,"3563 Larimer St Denver, CO 80205",Eddy,Y,phone,3,NA,A,2,303-638-3528,Chloe,employee,NA,Lisa,GM,lisa@yourstrulycupcake.com,"Tiffany = owner, spoke to chloe",NA,NA,NA,NA,-104.9736208,39.7679293,"3563 larimer st, denver, co 80205, usa",pink
Atomic Provisions (pizza),L1,17-Oct,Pizza,2?,NA,"141 S Broadway, Denver, CO 802",Eddy,Y,Email,2,NA,A,2 (corporate),NA,Sky,Employee,NA,Jeremy,manager,"jeremy.gable@atomicprovisions.com,","Talked to Sky, told to email Jeremy (GM) / responded saying we need ot talk to corporate about it",NA,NA,NA,NA,-104.9877857,39.7137398,"141 s broadway, denver, co 80209, usa",orange
Pie Hole,L1,19-Oct,Pizza,NA,NA,"44 S Broadway Denver, CO 80209",Eddy,Y,Call,2,NA,A,2,NA,Trevor,Employee,NA,CJ,Manager,need to catch him on a call,"Talked to Trevor, passing it along to CJ - (call on thursday and askf or CJ) --- call monday",NA,NA,NA,NA,-104.9871592,39.7157156,"44 s broadway, denver, co 80209, usa",orange
The Bardo,L1,18-Oct,Cafe,NA,NA,"238 S Broadway Denver, CO 80209",Eddy,Y,In person,2,NA,A,2,NA,?,NA,NA,NA,NA,NA,"Talked to employee, passing it along. (owner is reachable at HERE) / Did the text box submission, waiting on response",NA,NA,NA,NA,-104.987238,39.7123148,"238 s broadway, denver, co 80209, usa",orange
Devils food bakery,L1,18-Oct,NA,NA,NA,"1020 S Gaylord St Denver, CO 80209",Jack,Y,In person,NA,NA,NA,NA,NA,?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9615749,39.698032,"1020 s gaylord st, denver, co 80209, usa",orange
Steam Espresso Bar,L2,18-Oct,Cafe,NA,NA,"1801 S Pearl St Denver, CO 80210",Jack,Y,Email,2,NA,A,2,NA,Kylie,Employee,NA,Hani,Owner?,hani@steamespressobar.com,Talked to Kylie (manager)- passing info along to onwer. Something they've been looking for! / waiting for email response,NA,NA,NA,NA,-104.980711,39.683855200000004,"1801 s pearl st, denver, co 80210, usa",pink
Gates and Grog,L2,18-Oct,Deli,NA,NA,"1875 S Pearl St Denver, CO 80210",Jack,Y,In person,NA,NA,NA,NA,NA,Victor,Head chef,NA,NA,NA,NA,Victor (head chef) said they'd only use it once a week but wanted a card.,NA,NA,NA,NA,-104.9808023,39.6825819,"1875 s pearl st, denver, co 80210, usa",pink
WashPerk,L1,18-Oct,Cafe,1,NA,"853 E Ohio Ave Denver, CO 80209",Jack,Y,email,2,NA,B,2,n/a,n/a,cashier,NA,n/a,n/a,washperk@gmail.com,"Manager wasn't in, gave email to me",NA,NA,NA,NA,-104.9771195,39.7022232,"853 e ohio ave, denver, co 80209, usa",orange
Happy bake shop,L1,NA,NA,NA,NA,"3621 W 32nd Ave Denver, CO 80211",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0351257,39.7623126,"3621 w 32nd ave, denver, co 80211, usa",orange
Daboba,lost,NA,Cafe,NA,NA,"1920 17th St Denver, CO 80202",Jack,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doesn't do food,NA,NA,NA,NA,-105.0021415,39.7540868,"1920 17th st, denver, co 80202, usa",red
Penelope's Cafe,L2,18-Oct,Cafe,NA,NA,"1801 Blake St Free Market Denver, CO 80202",Jack,Y,In person,2,NA,B,2,NA,Matt,NA,NA,NA,NA,NA,"Talked to Matt who said they're trying to get on too good to go. Passing info along. Email wouldnt hurt /Emailed them, waiting for response",NA,NA,NA,NA,-104.9968503,39.7527739,"1801 blake st, denver, co 80202, usa",pink
Fluid Coffee,L2,19-Oct,Cafe,2,NA,"501 E 19th Ave Denver, CO 80203",Jack,Y,In person,2,NA,B,2,NA,Jackie,Employee,NA,Jeff,Owner,info@fluidcoffeebar.com,"Talked to Jackie, (was told to email them adresesd to Jeff the owner) /Eailed, waiitng on response",NA,NA,NA,NA,-104.9809495,39.7463246,"501 e 19th ave, denver, co 80203, usa",pink
Slackline Coffee,L1,19-Oct,Cafe,NA,NA,"1139 20th St Denver, CO 80202",Jack,Y,In person,2,NA,B,2,NA,Forgot,NA,NA,Chad Bratt,Owner,chad.bratt@jaggedbrewery.com,Was told to email owner. Forgot name of employee,NA,NA,NA,NA,-104.9913841,39.75226,"1139 20th st, denver, co 80202, usa",orange
Corner Bakery,L1,19-Oct,Cafe,3,NA,"717 17th St, Denver, CO 80202",Eddy,Y,In person,1,NA,A,2,NA,Herma,Employee,NA,NA,NA,NA,Talked to Herma. Not allowed ot give out info. Was told ot call or visit another day.,NA,NA,NA,NA,-104.9914871,39.7468226,"717 17th st, denver, co 80202, usa",orange
Il Posto,Lost,19-Oct,fast casual MTO,1,NA,"2601 Larimer St Denver, CO 80205",Eddy,Y,email,2,NA,B,2,NA,bartender,manager on duty,NA,NA,NA,tyler@ilpostodenver.com,NA,NA,NA,NA,NA,-104.9852964,39.7588525,"2601 larimer st, denver, co 80205, usa",red
Stow Away Cafe Denver,L2,19-Oct,Cafe,NA,NA,"2528 Walnut St Denver, CO 80205",Jack,Y,email,2,NA,B,2,NA,NA,owner,stowawaycafedenver@gmail.com,NA,NA,NA,gives food away to shelters but intested anyway,NA,NA,NA,NA,-104.9865533,39.7585606,"2528 walnut st, denver, co 80205, usa",pink
Silce works colfax,L1,23-Oct,pizzeria RM,4,NA,"700 E Colfax Ave Denver, CO 80203",Eddy,Y,email,2,NA,A,2,(303) 993-8127,Lou Scileppi,Owner,NA,NA,NA,louscileppi@comcast.net,Has surplus and can't legally donate - Lou owns all locations,NA,NA,NA,NA,-104.9785793,39.7398368,"700 e colfax ave, denver, co 80203, usa",orange
Slice works LODO,L1,NA,Pizza,NA,NA,"1433 17th St Denver, CO 80202",Eddy,Y,NA,NA,NA,NA,NA,(303) 297-3464,NA,NA,NA,NA,NA,zakc@sliceworkspizza.com,Talked to Dave -,Zak Cannata (owner),860-805-9737,NA,NA,-104.9975539,39.7514038,"1433 17th st, denver, co 80202, usa",orange
Slices Pizza,L0,NA,Pizza,NA,NA,"7155 E Hampden Ave, Denver, CO 80224-3050",Eddy,Y,NA,NA,NA,NA,NA,(303) 758-0940,NA,NA,NA,NA,NA,NA,"Bag em and freeze em and sell them the next day for a $1.50 (""we sell everything"")",NA,NA,NA,NA,-104.9053268,39.6536487,"7155 e hampden ave, denver, co 80224, usa",black
Redeemer,L1,18-Oct,Pizza,NA,NA,"2705 Larimer St Denver, CO 80205",Eddy,Y,Email,2,NA,A,2,(720) 780-1379,Brandon and Brett,Both Employees,NA,Chad,Owner,had@diomiopasta.com,"Brandon. INTERESTED!!! Owner will be calling. ""if they don't call, please try again""","Went in Monday, talked to Brett who said to email Chad (GM)/ awatiting response",NA,NA,NA,-104.984096,39.759777,"2705 larimer st, denver, co 80205, usa",orange
Sexy Pizza,L0,NA,Pizza,NA,NA,"1579 S Pearl St Denver, CO 80210",Jack,Y,NA,NA,NA,NA,NA,(303) 777-5878,NA,NA,NA,NA,NA,NA,We trash it. Jessie (employee) loves the idea and said to email Marketing@sexy.pizza,NA,NA,NA,NA,-104.9806854,39.6879125,"1579 s pearl st, denver, co 80210, usa",black
Blue Pan Pizza,L1,19-Oct,Pizza,2,NA,"3509 E 12th Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,(720) 519-0944,Colin,employee,NA,Grace,GM,grace@bluepandenver.com,doesn't seem to have much surplus,NA,NA,NA,NA,-104.9457811,39.7353563,"3509 e 12th ave, denver, co 80206, usa",orange
Famous Original J's,L1,NA,Pizza,NA,NA,"715 E 26th Ave Denver, CO 80205",Eddy,Y,NA,NA,NA,NA,NA,(720) 420-9102,NA,NA,NA,NA,NA,NA,"""we do have extra slices that we try to give to a couple homeless that come by sometimes"" (intersted in another solution)",NA,NA,NA,NA,-104.9775559,39.7548073,"715 e 26th ave, denver, co 80205, usa",orange
Mora,stalled,NA,Pizza,NA,NA,"911 E Colfax Ave Denver, CO 80218",Jack,N,NA,NA,NA,NA,NA,(786) 483-4212,NA,NA,NA,NA,NA,NA,"""we don't have extra"" (revisit in person?)",NA,NA,NA,NA,-104.9755877,39.7402081,"911 e colfax ave, denver, co 80218, usa",brown
Oblio's,L0,NA,Pizza,NA,NA,"6115 E 22nd Ave Denver, CO 80207",Jack,N,Phone,NA,NA,NA,NA,(303) 321-1511,NA,NA,NA,NA,NA,NA,No pizza by the slice,Oblios general manager is in Thursday after 4,NA,NA,NA,-104.9170466,39.7494336,"6115 e 22nd ave, denver, co 80207, usa",black
Mellow mushroom,L1,23-Oct,Pizzeria MTO,NA,NA,"1201 16th St Denver, CO 80202",Eddy,Y,email,2,NA,B,2,NA,Michael,GM,denver_gm@mellowmushroom.com,NA,NA,NA,Michael liked it but corporate will have to make the decision,NA,NA,NA,NA,-104.996298,39.7485735,"1201 16th st mall, denver, co 80202, usa",orange
Cart Driver,L1,25-Oct,Pizza MTO,2,NA,"2239 W 30th Ave, Denver, CO 80211, United States",Jack,Y,email,2,NA,B,2,NA,Annabelle,employee,NA,stephen,co-owner,stephen.mcgregor@cart-driver.com,Spoke w employee/emailed co-owner stephen,NA,NA,NA,NA,-105.0142589,39.7598083,"2239 w 30th ave, denver, co 80211, usa",orange
Giordano's,L1,23-Oct,Pizzeria MTO,NA,NA,"1600 California St Denver, CO 80202",Eddy,Y,email,3,NA,B,2,NA,Madison,employee,NA,Peter,Director of Ops,mmedina@giordanosco.com / ppraisilik@giordanosco.com,Peter = Director of operations who would make the decision. A lot of no-show pickup orders,NA,NA,NA,NA,-104.991597,39.7451995,"1600 california st, denver, co 80202, usa",orange
Fox and the Hen,L1,NA,Pizza MTO,NA,NA,"2257 West 32nd Ave Denver, CO 80211",Jack,Y,NA,NA,NA,NA,NA,NA,Zak & Carrie,NA,NA,NA,NA,zak@foxandthehen.com & carrier@foxandthehen.com,"Spoke w employee/owner? and she advised I reach out to the chefs, Zak & Carrie",NA,NA,NA,NA,-105.0142159,39.7622381,"2257 w 32nd ave, denver, co 80211, usa",orange
Afterburners Calzones,stalled,NA,Pizza,NA,NA,"32 N Broadway Denver, CO 80203",Jack,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No surplus, although kate is talking to owners who own other spots",NA,NA,NA,NA,-104.987325,39.7174059,"32 n broadway, denver, co 80203, usa",brown
Improper City,lost,20-Oct,cafe,NA,NA,"3201 Walnut St Denver, CO 80205",Jack,Y,email,2,NA,B,2,NA,n/a,manager,info@impropercity.com,NA,NA,NA,needs to speak w kitchen to see if its something they want to do,NA,NA,NA,NA,-104.9787712,39.7653517,"3201 walnut st, denver, co 80205, usa",red
Chopstickers,stalled,21-Oct,Noodle shop,NA,NA,"1617A California St Denver, CO 80202",Jack,Y,In person,1,NA,B,2,NA,Abraham,Owner,zhijian909@gmail.com,Abraham,NA,NA,New restaurant\not much food waste,NA,NA,NA,NA,-104.9919004,39.7455708,"1617a california st, denver, co 80202, usa",brown
Super fruit republic,L1,21-Oct,Health foods,3,NA,"1776 N Broadway Denver, CO 80202",Jack,Y,In person,1,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,Manager not in/employee didn't have contact info/left ours & will return,NA,NA,NA,NA,-104.9870534,39.744751,"1776 n broadway, denver, co 80290, usa",orange
Fresh farm market,L1,NA,NA,NA,NA,"2401 Larimer St Denver, CO 80205",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9879596,39.7571044,"2401 larimer st, denver, co 80205, usa",orange
Benny Blanco's Slice of the Bronx,Stalled,19-Oct,pizzeria RM,NA,NA,"616 E 13th Ave Denver, CO 80203",Eddy,Y,in-person,1,NA,A,2,NA,Zek,manager (stepson of owner),NA,NA,NA,NA,"Mike is the owner, he will be in 11-3pm on mon,tues,thurs,fri / have surplus slices",NA,NA,NA,NA,-104.9793874,39.7367449,"616 e 13th ave, denver, co 80203, usa",brown
Cart Driver,Lost,18-Oct,pizza,NA,NA,"2500 Larimer St, Denver, CO 80205-2275",Eddy,Y,in person,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza by the pie - No surplus,NA,NA,NA,NA,-104.9861197,39.7576532,"2500 larimer st, denver, co 80205, usa",red
Hello darling cafe,L0,NA,NA,NA,NA,"1610 Little Raven St, Denver, CO 80202",Eddy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0046357,39.7551182,"1610 little raven st, denver, co 80202, usa",black
Denver Pizza Compnay,stalled,NA,NA,2,NA,"309 West 11th Avenue, Denver, CO 80204",Jack,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza by the pie - No surplus,NA,NA,NA,NA,-104.9920474,39.7339986,"309 w 11th ave, denver, co 80204, usa",brown
Billy's Hotdogs,lost,NA,NA,NA,NA,"2445 Larimer St Denver, CO 80205",Jack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Talked to manager. Said they wouldn't use it for the amount of surplus they expereicne,NA,NA,NA,NA,-104.987069,39.7574301,"2445 larimer st, denver, co 80205, usa",red
Tuscany coffee and deli,L1,NA,NA,2,NA,"1600 Stout St Denver, CO 80202",Eddy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.99251,39.7457093,"1600 stout st, denver, co 80202, usa",orange
Rugby Scott Ranch Provisions,L2,18-Oct,Wholesale Meats,1,NA,"731 S University Blvd Denver, CO 80209",Eddy,Y,email,2,NA,B,2,n/a,tuck,owner,tuck@rugbyscott.com,tuck,owner,tuck@rugbyscott.com,"Spoke w both owners. They sell meat nationally, but are open to selling saller things locally to build a presence. Interested, but want to be sure we have a customer base to connect them with.",NA,NA,NA,NA,-104.9595871,39.7031558,"731 s university blvd, denver, co 80209, usa",pink
Rio Grande,L1,NA,NA,NA,NA,"1745 Wazee St Denver, CO 80202",Eddy,Y,NA,NA,NA,NA,NA,512-431-8377 (cell),NA,NA,NA,NA,NA,mciani@riograndemexican.com,"Matt Ciani = GM, Crystal = employee",NA,NA,NA,NA,-104.9981245,39.7530412,"1745 wazee st, denver, co 80202, usa",orange
Menya Noodle Bar,L2,NA,Asian Noodles,2,NA,"951 16th St Denver, CO 80202",Jack,Y,NA,NA,NA,NA,NA,NA,Jw Lee,NA,NA,NA,NA,jw@menyagroup.com,Two shops in Denver. Spoke w hostess and another employee.,NA,NA,NA,NA,-104.9941532,39.7469916,"951 16th st mall, denver, co 80202, usa",pink
Daves Hot Chicken,L1,NA,Hot Chicken,2,NA,"99 S Broadway Denver, CO 80209",Jack,Y,NA,NA,NA,NA,NA,NA,Manny,NA,NA,NA,NA,mannyg@daveschicken.com,Spoke w employee and she advised I reached out to regional manager manny,NA,NA,NA,NA,-104.9880824,39.7149811,"99 s broadway, denver, co 80209, usa",orange
The Post Chicken & Beer,C1,NA,chx & beer,3,NA,"1575 Boulder St Denver, CO 80211",Eddy,Y,NA,NA,NA,NA,NA,NA,Case Kazech,NA,NA,NA,NA,case@postchickenandbeer.com,"case is the manager, I was given his/her email from an employee when I visited",NA,NA,NA,NA,-105.0109285,39.759241,"1575 boulder st, denver, co 80211, usa",lightblue
Rosenbergs,L2,23-Oct,bagel shop,2,NA,"725 E 26th Ave Denver, CO 80205",Eddy,Y,email,3,NA,A,2,NA,David,GM,NA,NA,NA,fivepoints@rosenbergsbagels.com,"same owner as famous J's, throws out day old bagels / Josh is owner of rosenbergs and loves local",NA,NA,NA,NA,-104.9773677,39.7547989,"725 e 26th ave, denver, co 80205, usa",pink
Lechugas,L1,NA,italian restaurant,2,NA,"3609 Tejon St Denver, CO 80211",Jack,Y,NA,NA,NA,NA,NA,NA,not given,NA,NA,NA,NA,lechugasitalian@icloud.com,Employee said I should reach out to the manager.,NA,NA,NA,NA,-105.0114178,39.7670806,"3609 tejon st, denver, co 80211, usa",orange
Tacos Uprising,L1,23-Oct,NA,NA,NA,"2849 Welton St Denver, CO 80205",Eddy,Y,email,3,NA,B,2,NA,Samuel,Founder,info@tacouprising.com,NA,NA,NA,"local owner, interested / contacted via website form",NA,NA,NA,NA,-104.9760368,39.7566497,"2849 welton st, denver, co 80205, usa",orange
Chook,L1,NA,chicken,2,NA,"1300 S Pearl St Denver, CO 80210",Jack,Y,NA,NA,NA,NA,NA,NA,not given,NA,NA,NA,NA,info@chook.com,Manager wasn't in.,NA,NA,NA,NA,-104.980215,39.6928881,"1300 s pearl st, denver, co 80210, usa",orange
Duffeyroll,stalled,NA,Bakery & Cafe,2,NA,"1290 S Pearl St Denver, CO 80210",Jack,Y,NA,1,NA,NA,NA,NA,Christina,NA,NA,NA,NA,christina@duffeyrolls.com,they currently give away their surplus to homeless/ppl in need,NA,NA,NA,NA,-104.9801633,39.6931498,"1290 s pearl st, denver, co 80210, usa",brown
Modern market,L1,NA,NA,2,NA,"900 16th St Denver, CO 80202",Eddy,Y,NA,NA,NA,NA,NA,NA,Tracy = GM,NA,NA,NA,NA,tracy.crandall@modernmarket.com,NA,NA,NA,NA,NA,-104.994219,39.7465767,"900 16th st mall, denver, co 80202, usa",orange
Hops and Pie,L1,20-Oct,Pizza RM,1,NA,"3920 Tennyson St Denver, CO 80212",Jack,Y,email,2,NA,B,2,NA,n/a,shift manager,NA,Leah,owner/operator,leah@hopsandpie.com,"pizza, sometimes they have left over pizza",NA,NA,NA,NA,-105.0437324,39.7713884,"3920 tennyson st, denver, co 80212, usa",orange
steam espresso bar,L1,20-Oct,cafe,1,NA,"3600 Tejon St Denver, CO 80211",Jack,Y,email,2,NA,B,2,NA,NA,NA,NA,skylar,owner,skylar@steamespressobar.com,NA,NA,NA,NA,NA,-105.0109518,39.7670571,"3600 tejon st, denver, co 80211, usa",orange
Ricos Pizza,Stalled,31-Oct,Pizzeria RM,2,NA,"2700 E Colfax Ave Denver, CO 80206",Eddy,Y,call,3,NA,B,2,NA,Luke,NA,NA,Charlie,Owner,lukeofricos@gmail.com,Talked to charlie on the phone / he seemed interested but didn't have much surplus / will reach out and refer us to others,NA,NA,NA,NA,-104.9549174,39.74000270000001,"2700 e colfax ave, denver, co 80206, usa",brown
Leroy's bagels,L0,NA,NA,NA,NA,"4432 W 29th Ave Denver, CO 80212",Eddy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0446685,39.7583361,"4432 w 29th ave, denver, co 80212, usa",black
Osaka Ramen (Sushi-Rama),L2,20-Oct,fast casual RM,4,NA,"2615 Larimer St Denver, CO 80205",Eddy,Y,email,2,NA,A,2,208-830-6795 (C),Ashley,Manager,mgr.rino@sushi-rama.com,Caitlin,Rino GM,manager@osakaramendenver.com,They have RM sushi on conveyer belt and throw out product that can't sell in certain window / talked to ashley / jeff osaka is owner of all 4 locations / caitlin runs Rino,NA,NA,NA,NA,-104.9852473,39.7590215,"2615 larimer st, denver, co 80205, usa",pink
The French Press,L1,18-Oct,Cafe,4,NA,"3504 E 12th Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,A,2,303-284-3062 (C),Natalie,employee,NA,Cisco Lopez,Chef/Owner,cisco@myfrenchpress.com,Talked to an employee who said they throw out surplus pastries / full kitchen as well / 4 locations,NA,NA,NA,NA,-104.9459002,39.7349669,"3504 e 12th ave, denver, co 80206, usa",orange
The Walnut Room,L1,20-Oct,fast casual MTO,1,NA,"3131 Walnut St Denver, CO 80205",Jack,Y,email,2,NA,C,3,NA,Pierce,GM,pierce@firstdraft.beer\leslie_0@thewalnuom.com,Jona and Leslie,Owners,N/A,Pierce can forward our email to the owners of walnut room to see if they're interested,NA,NA,NA,NA,-104.979821,39.7646231,"3131 walnut st, denver, co 80205, usa",orange
Mister Oso,L0,18-Oct,fast casual MTO,2,NA,"3163 Larimer St Denver, CO 80205",Eddy,Y,in-person,1,NA,C,3,440-552-4965 (C),Sara,employee,NA,Cristina Farmer,GM,cristina@misterosodenver.com,Popped in but was busy so didn't chat about Goodie Bag,NA,NA,NA,NA,-104.9784359,39.7642049,"3163 larimer st, denver, co 80205, usa",black
Temper Chocolates,L1,18-Oct,grab n' go,1,NA,"2669 Larimer St The Central Market Denver, CO 80205",Eddy,Y,in-person,1,NA,B,3,NA,Kaitlin,employee,NA,Mark,Owner,mark@tempercolorado.com,They have premade chcolates but have long shelf life and rare surplus,NA,NA,NA,NA,-104.9846129,39.7593608,"2669 larimer st, denver, co 80205, usa",orange
SAME Cafe,Lost,18-Oct,fast casual RM,1,NA,"2023 E Colfax Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,720-530-6853,Maria,employee,NA,Carrie,ED,carrie@soallmayeat.org,Non-profit that runs a donation based kitchen - not a likely partner but cool concept and good people to talk to,NA,NA,NA,NA,-104.9626973,39.7401525,"2023 e colfax ave, denver, co 80206, usa",red
Fox Run Cafe,L2,18-Oct,fast casual RM,1,NA,"3550 E Colfax Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,720-630-1602 (S),Wes,Assistant GM,NA,Kelsie,Pastry Chef/GM,kelsie@foxruncafe.com,they run a tight ship and don't do to-go orders,NA,NA,NA,NA,-104.9455277,39.7398822,"3550 e colfax ave, denver, co 80206, usa",pink
Truffle Cheese Shop,L1,19-Oct,grab n' go,1,NA,"2906 E 6th Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,303-322-7363,?,NA,NA,Lisa Morris,Owner,info@denvertruffle.com,They have packaged product that expires - not sure how often / family onwed & woman led,NA,NA,NA,NA,-104.9530998,39.725429,"2906 e 6th ave, denver, co 80206, usa",orange
Steve's snappin Dogs,L1,18-Oct,fast casual RM,2,NA,"3525 E Colfax Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,2,303-912-6515 (C),NA,NA,NA,Steve & Linda Ballas,Owners,slandbinc@msn.com,"toss hot dogs every night, no solution / Steve is in everyday but wednesday",NA,NA,NA,NA,-104.9457097,39.7403838,"3525 e colfax ave, denver, co 80206, usa",orange
Hayati Mediterranean Grill,L1,18-Oct,fast casual RM,1,NA,"2958 N Downing St Denver, CO 80205",Eddy,Y,in-person,1,NA,A,2,720-621-8502 (C),Amino,wife of owner,NA,Mohamed,Owner,NA,"Amino said to call Mohamed, they have a buffet style service",NA,NA,NA,NA,-104.9730661,39.7592917,"2958 n downing st, denver, co 80205, usa",orange
Call your Mother,L1,24-Oct,cafe,2,NA,"1291 N Pearl St Denver, CO 80203",Eddy,Y,in-person,2,NA,A,2,NA,Colin,employee,suellen@callyourmotherdeli.com,Sue,manager of lohi location,NA,"surplus pastries, do donate leftover bagels, still throw out a lot accoridng to emoployee / Daniela & Andrew are couple owners form D.C. / spoke to Sue and she said onwers are very into donating",NA,NA,NA,NA,-104.9798756,39.7366991,"1291 n pearl st, denver, co 80203, usa",orange
The pasty Republic,L1,24-Oct,fast casual RM,2,NA,"2615 E 3rd Ave Denver, CO 80206",Eddy,Y,email,2,NA,A,2,NA,NA,NA,NA,Matt,Owner,pastyrepublic@gmail.com,"has $5 day olds in store, owners at cherry creek location",NA,NA,NA,NA,-104.9566251,39.72113520000001,"2615 e 3rd ave, denver, co 80206, usa",orange
OnOff Cafe,L1,24-Oct,cafe,1,NA,"2401 W 32nd Ave Denver, CO 80211",Eddy,Y,in-person,2,NA,A,2,NA,Amanda,employee,NA,Yuni,Owner,NA,they sell day olds at a discounted price in store / lucas or alex are managers too / talked to Pam,NA,NA,NA,NA,-105.0160877,39.7622028,"2401 w 32nd ave, denver, co 80211, usa",orange
College Inn,L1,19-Oct,fast casual RM,NA,NA,"4400 E 8th Ave Denver, CO 80224",Eddy,Y,in-person,1,NA,A,3,NA,NA,NA,NA,NA,NA,NA,kitchen manager says 2 meals of prepped chicken a night in surplus,NA,NA,NA,NA,-104.9358754,39.7291522,"4400 e 8th ave, denver, co 80220, usa",orange
Chook Chicken,L1,19-Oct,fast casual RM,1,NA,"4340 E 8th Ave Denver, CO 80220",Eddy,Y,in-person,1,NA,B,3,NA,Dan,employeee,NA,Elizabeth,COO,elizabeth@chookchicken.com,owners are Alex and Adam,NA,NA,NA,NA,-104.9361937,39.7291192,"4340 e 8th ave, denver, co 80220, usa",orange
Frank and Roze,Lost,19-Oct,cafe,NA,NA,"4097 E 9th Ave Denver, CO 80220",Eddy,Y,in-person,1,NA,A,3,NA,NA,NA,NA,NA,NA,NA,they donate to a woman's shelter,NA,NA,NA,NA,-104.9396839,39.7312074,"4097 e 9th ave, denver, co 80220, usa",red
Crepes n Crepes,Lost,19-Oct,fast casual RM,NA,NA,"1222 Madison St Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,NA,Daniella,manager,NA,Elina,Owner,NA,"they prep crepes and fridge em, supossedly no surplus",NA,NA,NA,NA,-104.9457856,39.7355494,"1222 madison st, denver, co 80206, usa",red
Good Bread Bake Shop,L0,NA,Bakery,NA,NA,"1515 Madison St Denver, CO 80206",Eddy,N,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9468764,39.7405264,"1515 madison st, denver, co 80206, usa",black
Mezcal,Lost,19-Oct,Fast casual MTO,NA,NA,"3230 E Colfax Ave Denver, CO 80206",Eddy,Y,in-person,1,NA,B,3,NA,Alejandro,manager,NA,Chris,owner,cswank@nipp.com,not much surplus,NA,NA,NA,NA,-104.9487874,39.7399581,"3230 e colfax ave, denver, co 80206, usa",red
Doppio Coffee,Lost,24-Oct,Cafe,NA,NA,"1245 E Colfax Ave Ste 105 Denver, CO 80218",Jack,Y,email,2,NA,A,2,NA,Ocha,employee,NA,Diana,owner,doppiodenver@gmail.com,NA,NA,NA,NA,NA,-104.9710864,39.7404872,"1245 e colfax ave #105, denver, co 80218, usa",red
Zoup eatery,Lost,19-Oct,Fast casual MTO,NA,NA,"1550 Court Pl Denver, CO 80202",Eddy,Y,in-person,1,NA,B,3,NA,NA,NA,NA,Tina,GM,NA,employee said no waste,NA,NA,NA,NA,-104.9892235,39.7418106,"1550 court pl, denver, co 80202, usa",red
Lazo Empanadas,L1,19-Oct,fast casual RM,3,NA,"1319 22nd St Denver, CO 80205",Eddy,Y,in-person,1,NA,B,2,NA,NA,NA,NA,NA,NA,NA,said no surplus bc they refridgerate em,NA,NA,NA,NA,-104.990434,39.75521579999999,"1319 22nd st, denver, co 80205, usa",orange
Lunch Boxx,L1,19-Oct,fast casual RM,NA,NA,"2669 Larimer St Denver, CO 80205",Eddy,Y,in-person,1,NA,B,2,NA,Meg,NA,NA,Zach,Owner,zach@lunchboxxdenver.com,premade meat and rice,NA,NA,NA,NA,-104.9846591,39.7593414,"2669 larimer st, denver, co 80205, usa",orange
